cell_id,grid_x,grid_y,week,long,lat,cases,cummulative_deaths
00_05,0,5,10,-0.4655923859742011,51.47684167294956,0,0
00_05,0,5,11,-0.4655923859742011,51.47684167294956,0,0
00_05,0,5,12,-0.4655923859742011,51.47684167294956,0,0
00_05,0,5,13,-0.4655923859742011,51.47684167294956,0,0
00_05,0,5,14,-0.4655923859742011,51.47684167294956,0,0
00_05,0,5,15,-0.4655923859742011,51.47684167294956,4,4
00_05,0,5,16,-0.4655923859742011,51.47684167294956,4,8
00_05,0,5,17,-0.4655923859742011,51.47684167294956,3,11
00_05,0,5,18,-0.4655923859742011,51.47684167294956,0,11
00_05,0,5,19,-0.4655923859742011,51.47684167294956,0,11
00_05,0,5,20,-0.4655923859742011,51.47684167294956,0,11
00_05,0,5,21,-0.4655923859742011,51.47684167294956,0,11
00_05,0,5,22,-0.4655923859742011,51.47684167294956,0,11
00_05,0,5,23,-0.4655923859742011,51.47684167294956,0,11
00_05,0,5,24,-0.4655923859742011,51.47684167294956,0,11
00_05,0,5,25,-0.4655923859742011,51.47684167294956,0,11
00_05,0,5,26,-0.4655923859742011,51.47684167294956,0,11
00_06,0,6,10,-1.8617905710490794,206.04158759287185,0,0
00_06,0,6,11,-1.8617905710490794,206.04158759287185,0,0
00_06,0,6,12,-1.8617905710490794,206.04158759287185,3,3
00_06,0,6,13,-1.8617905710490794,206.04158759287185,13,16
00_06,0,6,14,-1.8617905710490794,206.04158759287185,20,36
00_06,0,6,15,-1.8617905710490794,206.04158759287185,21,57
00_06,0,6,16,-1.8617905710490794,206.04158759287185,23,80
00_06,0,6,17,-1.8617905710490794,206.04158759287185,20,100
00_06,0,6,18,-1.8617905710490794,206.04158759287185,3,103
00_06,0,6,19,-1.8617905710490794,206.04158759287185,0,103
00_06,0,6,20,-1.8617905710490794,206.04158759287185,3,106
00_06,0,6,21,-1.8617905710490794,206.04158759287185,0,106
00_06,0,6,22,-1.8617905710490794,206.04158759287185,3,109
00_06,0,6,23,-1.8617905710490794,206.04158759287185,0,109
00_06,0,6,24,-1.8617905710490794,206.04158759287185,0,109
00_06,0,6,25,-1.8617905710490794,206.04158759287185,0,109
00_06,0,6,26,-1.8617905710490794,206.04158759287185,0,109
00_07,0,7,10,-2.3307575420263826,257.7354957322616,0,0
00_07,0,7,11,-2.3307575420263826,257.7354957322616,0,0
00_07,0,7,12,-2.3307575420263826,257.7354957322616,0,0
00_07,0,7,13,-2.3307575420263826,257.7354957322616,7,7
00_07,0,7,14,-2.3307575420263826,257.7354957322616,28,35
00_07,0,7,15,-2.3307575420263826,257.7354957322616,13,48
00_07,0,7,16,-2.3307575420263826,257.7354957322616,17,65
00_07,0,7,17,-2.3307575420263826,257.7354957322616,17,82
00_07,0,7,18,-2.3307575420263826,257.7354957322616,4,86
00_07,0,7,19,-2.3307575420263826,257.7354957322616,0,86
00_07,0,7,20,-2.3307575420263826,257.7354957322616,0,86
00_07,0,7,21,-2.3307575420263826,257.7354957322616,0,86
00_07,0,7,22,-2.3307575420263826,257.7354957322616,0,86
00_07,0,7,23,-2.3307575420263826,257.7354957322616,0,86
00_07,0,7,24,-2.3307575420263826,257.7354957322616,0,86
00_07,0,7,25,-2.3307575420263826,257.7354957322616,0,86
00_07,0,7,26,-2.3307575420263826,257.7354957322616,0,86
00_08,0,8,10,-0.4762426504426024,51.59847282664704,0,0
00_08,0,8,11,-0.4762426504426024,51.59847282664704,0,0
00_08,0,8,12,-0.4762426504426024,51.59847282664704,0,0
00_08,0,8,13,-0.4762426504426024,51.59847282664704,7,7
00_08,0,8,14,-0.4762426504426024,51.59847282664704,11,18
00_08,0,8,15,-0.4762426504426024,51.59847282664704,12,30
00_08,0,8,16,-0.4762426504426024,51.59847282664704,5,35
00_08,0,8,17,-0.4762426504426024,51.59847282664704,7,42
00_08,0,8,18,-0.4762426504426024,51.59847282664704,4,46
00_08,0,8,19,-0.4762426504426024,51.59847282664704,0,46
00_08,0,8,20,-0.4762426504426024,51.59847282664704,0,46
00_08,0,8,21,-0.4762426504426024,51.59847282664704,0,46
00_08,0,8,22,-0.4762426504426024,51.59847282664704,0,46
00_08,0,8,23,-0.4762426504426024,51.59847282664704,0,46
00_08,0,8,24,-0.4762426504426024,51.59847282664704,0,46
00_08,0,8,25,-0.4762426504426024,51.59847282664704,0,46
00_08,0,8,26,-0.4762426504426024,51.59847282664704,0,46
01_04,1,4,10,-0.3986147833604811,51.42941735511721,0,0
01_04,1,4,11,-0.3986147833604811,51.42941735511721,0,0
01_04,1,4,12,-0.3986147833604811,51.42941735511721,0,0
01_04,1,4,13,-0.3986147833604811,51.42941735511721,3,3
01_04,1,4,14,-0.3986147833604811,51.42941735511721,3,6
01_04,1,4,15,-0.3986147833604811,51.42941735511721,4,10
01_04,1,4,16,-0.3986147833604811,51.42941735511721,4,14
01_04,1,4,17,-0.3986147833604811,51.42941735511721,3,17
01_04,1,4,18,-0.3986147833604811,51.42941735511721,0,17
01_04,1,4,19,-0.3986147833604811,51.42941735511721,3,20
01_04,1,4,20,-0.3986147833604811,51.42941735511721,3,23
01_04,1,4,21,-0.3986147833604811,51.42941735511721,0,23
01_04,1,4,22,-0.3986147833604811,51.42941735511721,0,23
01_04,1,4,23,-0.3986147833604811,51.42941735511721,0,23
01_04,1,4,24,-0.3986147833604811,51.42941735511721,0,23
01_04,1,4,25,-0.3986147833604811,51.42941735511721,0,23
01_04,1,4,26,-0.3986147833604811,51.42941735511721,0,23
01_05,1,5,10,-3.2928919006633097,411.6215819834096,0,0
