msoa_code,msoa_name,local_auth_code,local_auth_name,covid_19_deaths,covid_19_deaths_per_thousand,ons_total_deaths,ons_deaths_per_thousand,march_deaths,april_deaths,may_deaths,june_deaths,july_deaths,total_population_mid_2018,over_70_prop,all_bame_prop,all_black_prop,pakistani_or_bangladeshi_prop,all_indian_prop,hypertension,obesity,diabetes,asthma,heart_disease,income_rank,education_rank,health_rank,housing_rank,living_environment_rank
E02000280,Enfield 004,E09000010,Enfield,16,1.87529301453352,23,2.6957337083919364,0,22,1,0,0,8532,0.121425222691045,0.178743394010569,0.0620082207868467,0.00798590722254844,0.0205519671168526,12.51,6.58,4.88,4.93,2.66,15251.0,23651.0,26509.0,9584.0,6662.0
E02000281,Enfield 005,E09000010,Enfield,4,0.429599398560842,7,0.7517989474814736,1,4,1,1,0,9311,0.0892492750510149,0.317713638936049,0.141369552914544,0.0148273910582908,0.0216185625353706,12.55,6.84,5.38,4.87,2.52,7553.0,13088.0,20251.0,1677.0,10741.0
E02000282,Enfield 006,E09000010,Enfield,4,0.397851601352695,14,1.392480604734434,0,11,3,0,0,10054,0.061269146608315,0.428195282501371,0.227427317608337,0.02029621503017,0.0133845309928688,12.41,9.0,6.29,4.55,2.04,3989.0,7648.0,18721.0,816.0,11119.0
E02000283,Enfield 007,E09000010,Enfield,2,0.226244343891402,3,0.3393665158371041,0,3,0,0,0,8840,0.0777149321266968,0.396130104463437,0.204772079772079,0.0218423551756885,0.0181623931623931,12.16,8.84,6.12,4.51,2.0,5403.0,7765.0,21607.0,2023.0,10113.0
E02000284,Enfield 008,E09000010,Enfield,0,0.0,1,0.11555350127108852,0,1,0,0,0,8654,0.108851398197365,0.188414634146341,0.0603658536585365,0.0118292682926829,0.0208536585365853,12.79,7.68,4.8,4.99,2.64,14137.0,23606.0,25957.0,8333.0,11093.0
E02000285,Enfield 009,E09000010,Enfield,3,0.466200466200466,6,0.9324009324009324,0,5,1,0,0,6435,0.136441336441336,0.175079581628012,0.0554797635288767,0.00924662725481279,0.0206154312566318,12.42,6.66,4.73,4.88,2.62,22010.0,22946.5,28310.5,8732.5,16499.0
E02000286,Enfield 010,E09000010,Enfield,9,1.05671010919337,16,1.8785957496771164,0,15,1,0,0,8517,0.162381120112715,0.192081392498161,0.0496445207158617,0.0116450110321157,0.032606030889924,12.29,7.26,4.76,4.68,2.4,16347.0,24702.0,27655.0,1779.0,17924.0
E02000287,Enfield 011,E09000010,Enfield,13,1.81665735047512,18,2.5153717160424818,1,16,1,0,0,7156,0.159306875349357,0.237285651472959,0.047926132199912,0.011725047633006,0.0589183643558551,11.48,4.68,4.68,4.14,2.64,21398.5,27118.0,29812.0,2755.5,19188.0
E02000288,Enfield 012,E09000010,Enfield,2,0.176397953783736,6,0.5291938613512083,0,4,2,0,0,11338,0.0738225436584935,0.4930409914204,0.234032411820781,0.0830314585319351,0.0169685414680648,12.83,8.7,6.62,4.9,2.14,5126.5,9676.0,20416.5,1851.0,8474.0
E02000289,Enfield 013,E09000010,Enfield,2,0.303168106715173,3,0.45475216007276037,0,3,0,0,0,6597,0.173108988934364,0.230019789922362,0.035621860252702,0.0168975490942304,0.0589130765717765,12.06,5.19,4.73,4.37,2.49,21759.5,26650.5,30848.5,8478.0,18356.5
