msoa_code,msoa_name,local_auth_code,local_auth_name,total_cases,total_population_mid_2018,cases_per_thousand,cx,cy,week,cases,cummulative_cases,cases_delta,cummulative_delta,cases_rank_stand,date
E02000034,Whetstone East,E09000003,Barnet,29,9276,3.126347563605002,-0.165779652,51.62260282,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000035,Woodside Park,E09000003,Barnet,39,9003,4.33188937020993,-0.18413512899999998,51.62207162,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000036,Edgware East,E09000003,Barnet,29,11577,2.504966744407014,-0.263190448,51.62298848,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000037,Edgware Park,E09000003,Barnet,25,10378,2.4089419926768163,-0.284198792,51.62876798,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000038,Friern Barnet,E09000003,Barnet,48,11532,4.1623309053069715,-0.15535152300000002,51.61564483,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000039,Mill Hill Park,E09000003,Barnet,12,7268,1.651073197578426,-0.242347536,51.61528463,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000040,Mill Hill East,E09000003,Barnet,27,8200,3.292682926829268,-0.218040294,51.61705962,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000041,Edgware Central,E09000003,Barnet,32,9971,3.2093069902717883,-0.272604072,51.61350781,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000042,North Finchley,E09000003,Barnet,44,12149,3.6216972590336654,-0.177896172,51.61194338,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000043,West Finchley,E09000003,Barnet,8,8195,0.9762050030506406,-0.19392217,51.61444755,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000044,Mill Hill Broadway,E09000003,Barnet,21,8874,2.366463826910074,-0.253915575,51.61013764,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000045,Colney Hatch,E09000003,Barnet,25,10908,2.291895856252292,-0.154385935,51.606235,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000046,Church End,E09000003,Barnet,7,7582,0.9232392508572936,-0.18803405899999998,51.60161246,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000047,Burnt Oak & Watling Park,E09000003,Barnet,52,12398,4.194224874979835,-0.262293994,51.60258947,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000048,Copthall & Downage,E09000003,Barnet,28,10645,2.6303428839830905,-0.21888870800000002,51.60250567,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000049,Grahame Park,E09000003,Barnet,37,9292,3.981919931123547,-0.24616244399999998,51.60215692,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000050,Fallow Corner,E09000003,Barnet,10,10905,0.9170105456212746,-0.171704391,51.60017114,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000051,Finchley Central,E09000003,Barnet,27,9686,2.7875283914928763,-0.199438003,51.59419299,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000052,East Finchley,E09000003,Barnet,10,10586,0.9446438692612885,-0.16881965399999999,51.59132864,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000053,Colindale,E09000003,Barnet,49,15643,3.1323914850092693,-0.246585227,51.59336029,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000054,North Hendon & Sunny Hill,E09000003,Barnet,20,7616,2.6260504201680672,-0.231593651,51.59295112,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000055,Hendon Central,E09000003,Barnet,64,11861,5.395835089790069,-0.22362112399999998,51.58761402,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000056,Hampstead Garden Suburb,E09000003,Barnet,49,9357,5.236721171315593,-0.17780499100000002,51.58129924,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000057,Hendon Park,E09000003,Barnet,33,8147,4.050570762243771,-0.21777096899999998,51.58286171,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000058,Temple Fortune,E09000003,Barnet,40,10949,3.6533016713855146,-0.194822314,51.58287782,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000059,West Hendon,E09000003,Barnet,67,11658,5.747126436781609,-0.243709652,51.57862155,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000060,Golders Green North,E09000003,Barnet,77,12358,6.230781679883476,-0.20780325300000002,51.57900972,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000061,Golders Green South,E09000003,Barnet,55,8980,6.124721603563474,-0.19533309199999999,51.56969641,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000062,Brent Cross & Staples Corner,E09000003,Barnet,18,6826,2.636976267213595,-0.22186390600000003,51.56949624,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000063,North Cricklewood,E09000003,Barnet,40,7755,5.157962604771115,-0.21119374800000001,51.56614884,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000064,Childs Hill,E09000003,Barnet,16,6851,2.3354254853306085,-0.202582713,51.56028192,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000065,Crossway Park,E09000004,Bexley,33,8992,3.669928825622776,0.136081282,51.50299521,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000066,South Thamesmead,E09000004,Bexley,42,10069,4.171218591717151,0.130528662,51.49360611,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000067,Belvedere & Lessness Heath,E09000004,Bexley,36,10267,3.5063796629979547,0.1517474,51.49373229,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000068,Erith East,E09000004,Bexley,29,8162,3.553050722862044,0.16979122800000002,51.48858743,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000069,Erith West,E09000004,Bexley,22,6756,3.256364712847839,0.159977413,51.48251275,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000070,Lesnes Abbey,E09000004,Bexley,27,8064,3.3482142857142856,0.134029407,51.48158066,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000071,Northumberland Heath,E09000004,Bexley,12,7658,1.5669887699138156,0.15620461,51.47443412,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000072,Slade Green & Crayford Marshes,E09000004,Bexley,50,12851,3.890747801727492,0.19770281899999997,51.47153259,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
